player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures,YEAR
Alii Matau,52219,LB,S JOSE ST,12,1,0,285,68.8,3,6,106,45.1,10.4,11,2,9,5,244,110,14,0,73.9,3,4,35,73.1,20,7,18.6,3,52,38,10,2021
Christian Johnson,52228,DI,S JOSE ST,2,0,0,285,59.3,0,0,2,100,0,0,0,0,0,2,2,0,0,,0,0,0,,,0,,0,0,0,0,2021
Hadari Darden,52234,LB,S JOSE ST,11,0,0,285,74,1,2,17,12.6,11.8,2,0,14.7,1,135,17,4,0,80.3,0,1,3,11.1,66.7,2,16.7,0,27,3,1,2021
Jamaar Hardy,52241,DI,S JOSE ST,1,0,0,285,57,0,0,5,100,0,0,0,0,0,6,6,0,0,56.9,0,0,3,100,0,0,0,0,4,4,0,2021
Rico Tolefree,52250,LB,S JOSE ST,12,0,0,285,60.6,0,3,17,11.3,5.9,1,0,14.7,1,150,17,4,0,57.6,0,0,2,12.5,0,0,0,0,16,2,0,2021
Sinjun Astani,52257,DI,S JOSE ST,1,0,0,285,60,0,0,1,100,0,0,0,0,0,1,1,0,0,,0,0,0,,,0,,0,0,0,0,2021
Tre White,52261,S,S JOSE ST,5,0,0,285,57.1,0,0,2,5,0,0,0,0,0,40,2,0,0,57.1,0,0,2,15.4,0,0,0,0,13,2,0,2021
Tysyn Parker,52264,LB,S JOSE ST,11,0,0,285,54,0,3,18,11.4,0,0,0,8.3,0,167,19,3,0,52.7,0,0,6,23.1,0,0,0,0,26,6,0,2021
Dalyn Wade-Perry,52268,DI,STANFORD,12,0,0,300,56.2,0,6,190,99,2.6,5,0,2.1,1,202,200,7,0,51.5,0,1,55,98.3,0,0,0.9,0,58,57,1,2021
Gabe Reid,52273,ED,STANFORD,12,1,0,300,75.5,6,22,184,65.5,16.8,31,3,8.2,1,296,194,29,0,70.7,4,16,98,84.2,21.4,21,10.2,0,120,101,20,2021
